Symbol,Open,High,Low,Last,Change,% Change,Bid,Offer,Volume (Shares),Value ('000 Baht),Sector
ADVICE,5.60,5.60,5.40,5.55,-0.05,-0.89,5.50,5.55,"3,789,115","20,813.88",service
BEAUTY,0.30,0.32,0.30,0.30,-0.01,-3.23,0.30,0.31,"13,704,290","4,133.48",service
BIG,0.35,0.35,0.33,0.34,-0.01,-2.86,0.33,0.34,"2,122,100",727.30,service
BJC,18.60,18.60,17.80,18.10,-0.50,-2.69,18.00,18.10,"4,420,677","80,323.49",service
CPALL,46.25,46.50,45.50,46.00,-0.25,-0.54,45.75,46.00,"24,911,134","1,143,176.25",service
CPAXT,18.70,18.80,18.10,18.40,-0.30,-1.60,18.30,18.40,"15,051,458","276,436.77",service
CPW,2.26,2.26,2.16,2.20,0.00,0.00,2.18,2.20,"180,635",397.10,service
CRC,20.20,20.40,19.50,19.70,-0.70,-3.43,19.60,19.70,"23,045,836","456,400.04",service
CSS,0.83,0.83,0.82,0.82,-0.01,-1.20,0.82,0.83,"1,036,920",853.32,service
DOHOME,3.92,3.94,3.70,3.70,-0.22,-5.61,3.70,3.74,"28,280,371","107,569.20",service
FN,0.51,0.54,0.50,0.52,-0.01,-1.89,0.52,0.53,"409,800",212.70,service
GLOBAL,6.20,6.30,6.10,6.25,+0.05,+0.81,6.20,6.25,"8,834,204","54,803.04",service
HMPRO,7.05,7.10,6.85,6.85,-0.20,-2.84,6.85,6.90,"50,568,262","350,336.94",service
ICC,25.00,25.00,24.50,25.00,0.00,0.00,25.00,25.25,619,15.43,service
ILM,14.30,14.50,14.30,14.40,+0.20,+1.41,14.30,14.40,"65,704",945.77,service
IT,4.02,4.06,3.96,4.06,-0.02,-0.49,4.04,4.06,"68,758",275.18,service
KAMART,7.90,8.10,7.70,7.90,0.00,0.00,7.85,7.90,"4,985,246","39,301.61",service
LOXLEY,1.18,1.29,1.17,1.24,+0.07,+5.98,1.24,1.25,"2,061,903","2,532.47",service
MC,10.60,10.60,10.40,10.50,0.00,0.00,10.50,10.60,"1,389,212","14,613.78",service
MEGA,29.50,30.75,29.50,30.75,-0.50,-1.60,30.50,30.75,"1,415,427","42,401.78",service
MIDA,0.26,0.27,0.26,0.26,0.00,0.00,0.26,0.27,"21,700",5.71,service
MOSHI,38.00,38.50,37.75,38.00,+0.25,+0.66,37.75,38.00,"377,860","14,444.90",service
RS,0.25,0.25,0.22,0.24,-0.03,-11.11,0.24,0.25,"25,390,349","6,080.01",service
RSP,1.23,1.25,1.16,1.19,-0.08,-6.30,1.18,1.19,"843,530","1,010.26",service
SCM,0.33,0.38,0.33,0.35,+0.01,+2.94,0.35,0.36,"5,207,346","1,839.95",service
SINGER,5.40,5.50,5.20,5.30,-0.10,-1.85,5.30,5.35,"4,782,268","25,639.36",service
